Date,Category,Site Name,URL,Title,Description,Used by,Notes
09/03/2023,Windows - PE,GitHub,github.com/OmriBaso/RToolZ,"GitHub - OmriBaso/RToolZ: A Stealthy Lsass Dumper - can abuse ProcExp152.sys driver to dump PPL Lsass, no dbghelp.lib calls.","A Stealthy Lsass Dumper - can abuse ProcExp152.sys driver to dump PPL Lsass, no dbghelp.lib calls. - GitHub - OmriBaso/RToolZ: A Stealthy Lsass Dumper - can abuse ProcExp152.sys driver to dump PPL ...",,
13/03/2023,Cheatsheets,Gist,gist.github.com/TarlogicSecurity/2f221924fef8c14a1d8e29f3cb5c5c4a,A cheatsheet with commands that can be used to perform kerberos attacks,A cheatsheet with commands that can be used to perform kerberos attacks - kerberos_attacks_cheatsheet.md,,
13/03/2023,All-In-One repos,blackarch.org,blackarch.org/tools.html,Tools in BlackArch,"List of all tools available on BlackArch, update in real time",,
13/03/2023,Windows - data extraction,Hacking Articles,hackingarticles.in/credential-dumping-wireless,Credential Dumping: Wireless - Hacking Articles,"Today we will be taking a look at how we can dump Wireless Credentials. We will cover Credential Dumping, Red Teaming, Different ways we can",,
13/03/2023,Learning sources - writeups,www.thehacker.recipes,thehacker.recipes,Introduction,,,
13/03/2023,AV evasion,GitHub,github.com/optiv/Mangle,GitHub - optiv/Mangle: Mangle is a tool that manipulates aspects of compiled executables (.exe or DLL) to avoid detection from EDRs,Mangle is a tool that manipulates aspects of compiled executables (.exe or DLL) to avoid detection from EDRs - GitHub - optiv/Mangle: Mangle is a tool that manipulates aspects of compiled executabl...,,
16/03/2023,Learning sources - playbooks,harmj0y,blog.harmj0y.net/redteaming/a-guide-to-attacking-domain-trusts,A Guide to Attacking Domain Trusts,"It’s been a while (nearly 2 years) since I wrote a post purely on Active Directory domain trusts. After diving into group scoping, I realized a few subtle misconceptions I previously had conc…",,
16/03/2023,Learning sources - playbooks,eXploit,exploit.ph/external-trusts-are-evil.html,External Trusts Are Evil,Breaking trust transitivity for fun and profit,,
16/03/2023,Recon - attack surface search engines,GitHub,github.com/edoardottt/awesome-hacker-search-engines,"GitHub - edoardottt/awesome-hacker-search-engines: A curated list of awesome search engines useful during Penetration testing, Vulnerability assessments, Red/Blue Team operations, Bug Bounty and more","A curated list of awesome search engines useful during Penetration testing, Vulnerability assessments, Red/Blue Team operations, Bug Bounty and more - GitHub - edoardottt/awesome-hacker-search-engi...",,
16/03/2023,Learning sources - writeups,GitHub,github.com/fardeen-ahmed/Bug-bounty-Writeups,GitHub - fardeen-ahmed/Bug-bounty-Writeups: Repository of Bug-Bounty Writeups,Repository of Bug-Bounty Writeups. Contribute to fardeen-ahmed/Bug-bounty-Writeups development by creating an account on GitHub.,,
16/03/2023,Learning sources - labs,GitHub,github.com/antonio-morales/Fuzzing101,GitHub - antonio-morales/Fuzzing101: An step by step fuzzing tutorial. A GitHub Security Lab initiative,An step by step fuzzing tutorial. A GitHub Security Lab initiative  - GitHub - antonio-morales/Fuzzing101: An step by step fuzzing tutorial. A GitHub Security Lab initiative,,
16/03/2023,Learning sources - playbooks,GitHub,github.com/hakluke/Internal-Pentest-Playbook,GitHub - hakluke/Internal-Pentest-Playbook: Internal Network Penetration Test Playbook,Internal Network Penetration Test Playbook. Contribute to hakluke/Internal-Pentest-Playbook development by creating an account on GitHub.,,
16/03/2023,Recon - osint,GitHub,github.com/xnl-h4ck3r/waymore,GitHub - xnl-h4ck3r/waymore: Find way more from the Wayback Machine!,Find way more from the Wayback Machine! Contribute to xnl-h4ck3r/waymore development by creating an account on GitHub.,,
16/03/2023,Recon - osint,GitHub,github.com/hakluke/haktrails,GitHub - hakluke/haktrails: Golang client for querying SecurityTrails API data,Golang client for querying SecurityTrails API data - GitHub - hakluke/haktrails: Golang client for querying SecurityTrails API data,,
16/03/2023,Learning sources - playbooks,www.ired.team,ired.team,What is ired.team notes?,"These are notes about all things focusing on, but not limited to, red teaming and offensive security.",,
16/03/2023,Learning sources - labs,GitHub,github.com/arpeetrathii/50-Days-Of-SQLi,GitHub - arpeetrathii/50-Days-Of-SQLi: Learning and hunting SQL injection bugs for 50 continuous days,Learning and hunting SQL injection bugs for 50 continuous days  - GitHub - arpeetrathii/50-Days-Of-SQLi: Learning and hunting SQL injection bugs for 50 continuous days,,
16/03/2023,All-In-One repos,GitHub,github.com/mishakorzik/AllHackingTools/blob/main/.github/TOOLS.md,AllHackingTools/TOOLS.md at main · mishakorzik/AllHackingTools,All-in-One Hacking Tools For Hackers! And more hacking tools! For termux. - AllHackingTools/TOOLS.md at main · mishakorzik/AllHackingTools,,
16/03/2023,All-In-One repos,GitHub,github.com/0xMrNiko/Awesome-Red-Teaming,GitHub - 0xMrNiko/Awesome-Red-Teaming: List of Awesome Red Team / Red Teaming Resources  This list is for anyone wishing to learn about Red Teaming but do not have a starting point.,List of Awesome Red Team / Red Teaming Resources  This list is for anyone wishing to learn about Red Teaming but do not have a starting point. - GitHub - 0xMrNiko/Awesome-Red-Teaming: List of Aweso...,,
16/03/2023,General backdoors,GitHub,github.com/iagox86/dnscat2,GitHub - iagox86/dnscat2,Contribute to iagox86/dnscat2 development by creating an account on GitHub.,,
16/03/2023,Learning sources - playbooks,book.hacktricks.xyz,book.hacktricks.xyz/welcome/readme,,"Welcome to the page where you will find each hacking trick/technique/whatever I have learnt from CTFs, real life apps, reading researches, and news.",,
16/03/2023,Cheatsheets,GitHub,github.com/Ignitetechnologies/Linux-Privilege-Escalation,GitHub - Ignitetechnologies/Linux-Privilege-Escalation: This cheatsheet is aimed at the OSCP aspirants to help them understand the various methods of Escalating Privilege on Linux based Machines and CTFs with examples.,This cheatsheet is aimed at the OSCP aspirants to help them understand the various methods of Escalating Privilege on Linux based Machines and CTFs with examples. - GitHub - Ignitetechnologies/Linu...,,
16/03/2023,General backdoors,Aura Research Division,research.aurainfosec.io/pentest/rssh,"Reverse SSH: A Fast, Stable Reverse Shell Handler",Want to use SSH for reverse shells? Now you can.,,
16/03/2023,Recon - osint,GitHub,github.com/Taonn/EmailAll,GitHub - Taonn/EmailAll: EmailAll is a powerful Email Collect tool — 一款强大的邮箱收集工具,EmailAll is a powerful Email Collect tool — 一款强大的邮箱收集工具 - GitHub - Taonn/EmailAll: EmailAll is a powerful Email Collect tool — 一款强大的邮箱收集工具,,
